state,year,prevalence
Alabama,1928,0.003414387
Alabama,1929,0.001129764
Alabama,1930,0.001570526
Alabama,1931,0.003345043
Alabama,1932,0.000100259
Alabama,1933,0.000639456
Alabama,1934,0.005801563
Alabama,1935,0.002623989
Alabama,1936,0.000206085
Alabama,1937,0.000222854
Alabama,1938,0.004946072
Alabama,1939,0.001826876
Alabama,1940,0.001157799
Alabama,1941,0.003027282
Alabama,1942,0.001292279
Alabama,1943,0.001312394
Alabama,1944,0.002429696
Alabama,1945,0.000258192
Alabama,1946,0.001245461
Alabama,1947,0.00125339
Alabama,1948,0.00068083
Alabama,1949,0.003643513
Alabama,1950,0.000508207
Alabama,1951,0.001023331
Alabama,1952,0.003471919
Alabama,1953,0.000915728
Alabama,1954,0.002678173
Alabama,1955,0.000668846
Alabama,1956,0.002225664
Alabama,1957,0.002897015
Alabama,1958,0.002368955
Alabama,1959,0.001066186
Alabama,1960,0.00063519
Alabama,1961,0.00078901
Alabama,1962,0.000722591
Alabama,1963,0.000352575
Alabama,1964,0.005462757
Alabama,1965,0.000704457
Alabama,1966,0.000541875
Alabama,1967,0.000400103
Alabama,1968,4.70E-05
Alabama,1969,3.52E-06
Alabama,1970,0.000141399
Alabama,1971,0.000561492
Alabama,1972,4.06E-05
Alabama,1973,4.20E-06
Alabama,1974,5.80E-06
Alabama,1975,1.36E-06
Alabama,1976,0
Alabama,1977,2.09E-05
Alabama,1978,3.46E-05
Alabama,1979,3.34E-05
Alabama,1980,5.65E-06
Alabama,1981,0
Alabama,1982,5.07E-07
Alabama,1983,2.53E-07
Alabama,1984,0
Alabama,1985,0
Alabama,1986,2.51E-07
Alabama,1987,1.00E-06
Alabama,1988,2.50E-07
Alabama,1989,1.52E-05
Alabama,1990,6.93E-06
Alabama,1991,2.46E-07
Alabama,1992,0
Alabama,1993,2.42E-07
Alabama,1994,0
Alabama,1995,0
Alabama,1996,0
Alabama,1997,1.39E-06
Alabama,1998,0
Alabama,1999,0
Alabama,2000,0
Alabama,2001,0
Alabama,2002,1.55E-06
Alaska,1960,0.006437721
Alaska,1961,0.004305048
Alaska,1962,0.005870049
Alaska,1963,0.007501653
Alaska,1964,0.004561871
Alaska,1965,0.000823891
Alaska,1966,0.00238755
Alaska,1967,0.000535882
Alaska,1968,3.87E-05
Alaska,1969,6.85E-05
Alaska,1970,0.000352884
Alaska,1971,0.000204009
Alaska,1972,4.10E-05
Alaska,1973,1.53E-05
Alaska,1974,2.98E-06
Alaska,1975,0
Alaska,1976,3.10E-05
Alaska,1977,0.000166686
Alaska,1978,5.30E-06
Alaska,1979,4.63E-05
Alaska,1980,1.49E-05
Alaska,1981,0
Alaska,1982,2.33E-06
Alaska,1983,0
Alaska,1984,0
Alaska,1985,0
Alaska,1986,0
Alaska,1987,0
Alaska,1988,1.91E-06
Alaska,1989,0
Alaska,1990,4.91E-05
Alaska,1991,1.78E-06
Alaska,1992,6.99E-06
Alaska,1993,0
Alaska,1994,2.72E-05
Alaska,1995,0
Alaska,1996,0.000112762
Alaska,1997,1.64E-06
Alaska,1998,2.60E-05
Alaska,1999,0
Alaska,2000,1.60E-06
Alaska,2001,0
Alaska,2002,0
Arizona,1928,0.002021374
Arizona,1929,0.000551674
Arizona,1930,0.004646753
Arizona,1931,0.00482751
Arizona,1932,0.000191951
Arizona,1933,0.002782559
Arizona,1934,0.002231397
Arizona,1935,0.001266102
Arizona,1936,0.00497438
Arizona,1937,0.008004812
Arizona,1938,0.001454039
Arizona,1939,0.001435404
Arizona,1940,0.003399024
Arizona,1941,0.005891767
Arizona,1942,0.007375379
Arizona,1943,0.002196618
Arizona,1944,0.007969067
Arizona,1945,0.000950794
Arizona,1946,0.005015882
Arizona,1947,0.002286546
Arizona,1948,0.006383973
Arizona,1949,0.005346674
Arizona,1950,0.003187088
Arizona,1951,0.013369998
Arizona,1952,0.0042501
Arizona,1953,0.005585673
Arizona,1954,0.005231537
Arizona,1955,0.010051246
Arizona,1956,0.006369756
Arizona,1957,0.007004131
Arizona,1958,0.008297052
Arizona,1959,0.007277891
Arizona,1960,0.003306043
Arizona,1961,0.005809866
Arizona,1962,0.004528298
Arizona,1963,0.00613516
Arizona,1964,0.004236201
Arizona,1965,0.001040598
Arizona,1966,0.003458647
Arizona,1967,0.000632696
Arizona,1968,0.000147456
Arizona,1969,0.000316458
Arizona,1970,0.000568073
Arizona,1971,0.000276948
